weather_id,collision_rate,out_of_road_length,distance_to_route,incomplete_route,running_time,final_score
15,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
15,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
15,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
15,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
15,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
16,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
16,0.75,0.04,0.09,0.3,0.83,0.48600000000000004
16,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
16,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
16,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
16,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
16,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
16,0.78,0.04,0.09,0.3,0.82,0.49700000000000005
16,0.78,0.03,0.09,0.3,0.82,0.49600000000000005
16,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
17,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
17,0.78,0.03,0.09,0.3,0.82,0.49600000000000005
17,0.75,0.04,0.09,0.3,0.82,0.48500000000000004
17,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
17,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
17,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
17,0.75,0.02,0.09,0.31,0.84,0.48800000000000004
