Station_Id_C Year Mon Day Hour PRS PRS_Sea PRS_Max PRS_Min WIN_S_Max WIN_S_Inst_Max WIN_D_INST_Max WIN_D_Avg_2mi WIN_S_Avg_2mi WIN_D_S_Max TEM TEM_Max TEM_Min RHU RHU_Min PRE_3h
58362 2025 3 10 3 1023.2000 1024.2000 1023.6000 1022.9000 2.7000 5.1000 117 120 3.0000 107 11.5000 11.6000 11.1000 89 89 0.0000 
58362 2025 3 10 6 1021.2000 1022.2000 1021.6000 1021.2000 2.1000 3.0000 89 87 2.4000 89 11.5000 11.7000 11.4000 94 91 0.0000 
58365 2025 3 4 9 1019.4000 1020.1000 1019.4000 1017.8000 4.8000 8.9000 317 290 3.7000 319 6.1000 6.7000 6.1000 88 83 0.0000 
58365 2025 3 4 12 1020.0000 1020.7000 1020.2000 1019.7000 3.4000 6.4000 319 354 1.3000 322 6.0000 6.0000 5.8000 93 93 0.0000 
58365 2025 3 4 15 1021.3000 1022.0000 1021.3000 1020.8000 2.6000 5.0000 13 6 2.4000 5 6.6000 6.7000 6.6000 81 81 0.0000 
58365 2025 3 4 18 1022.2000 1022.9000 1022.3000 1022.0000 3.5000 5.5000 339 348 3.7000 351 5.6000 6.1000 5.6000 87 83 0.0000 
58365 2025 3 4 21 1021.6000 1022.3000 1021.9000 1021.5000 4.1000 6.8000 8 357 3.8000 2 5.7000 5.8000 5.7000 77 77 0.0000 
58365 2025 3 5 0 1024.1000 1024.8000 1024.5000 1024.1000 3.0000 5.5000 349 3 2.4000 345 5.7000 5.7000 5.6000 73 71 0.0000 
58365 2025 3 5 3 1024.8000 1025.5000 1025.4000 1024.5000 4.5000 7.2000 33 3 2.8000 26 7.5000 7.5000 6.9000 67 66 0.0000 
58365 2025 3 5 6 1024.1000 1024.8000 1024.1000 1023.5000 3.3000 5.4000 358 356 3.0000 17 7.9000 7.9000 7.5000 66 64 0.0000 
58365 2025 3 5 9 1023.8000 1024.5000 1024.2000 1023.8000 4.7000 8.3000 23 28 4.6000 26 7.2000 7.6000 7.2000 67 65 0.0000 
58365 2025 3 5 12 1025.7000 1026.4000 1025.7000 1024.9000 4.1000 7.1000 25 19 3.3000 24 6.1000 6.5000 6.1000 66 66 0.0000 
58365 2025 3 5 15 1027.3000 1028.0000 1027.7000 1027.3000 2.7000 4.7000 359 4 2.1000 349 5.9000 6.0000 5.9000 72 69 0.0000 
58365 2025 3 5 18 1027.9000 1028.6000 1028.1000 1027.7000 3.4000 6.2000 350 5 2.4000 7 5.8000 5.9000 5.8000 72 72 0.0000 
58365 2025 3 5 21 1028.7000 1029.4000 1028.8000 1028.5000 3.2000 6.2000 339 347 3.2000 340 5.4000 5.5000 5.4000 75 74 0.0000 
58365 2025 3 6 0 1030.9000 1031.6000 1030.9000 1030.2000 3.9000 6.5000 341 2 3.3000 345 6.1000 6.1000 5.1000 72 72 0.0000 
58365 2025 3 6 3 1031.4000 1032.1000 1031.5000 1031.3000 4.8000 7.9000 20 359 4.2000 2 8.0000 8.7000 7.4000 59 57 0.0000 
58365 2025 3 6 6 1030.2000 1030.9000 1030.5000 1030.2000 4.9000 8.3000 1 24 6.0000 3 9.8000 10.3000 9.7000 51 49 0.0000 
58365 2025 3 6 9 1030.4000 1031.1000 1030.4000 1029.8000 4.7000 8.4000 24 25 3.9000 20 8.9000 9.5000 8.9000 54 52 0.0000 
58365 2025 3 6 12 1031.6000 1032.3000 1031.6000 1031.0000 2.4000 5.2000 22 33 1.5000 37 5.6000 6.7000 5.6000 68 59 0.0000 
58365 2025 3 6 15 1031.3000 1032.0000 1031.5000 1031.3000 1.9000 3.2000 26 33 1.2000 28 4.3000 4.5000 4.3000 80 77 0.0000 
58365 2025 3 6 18 1030.3000 1031.0000 1031.0000 1030.3000 1.6000 2.4000 30 322 0.5000 34 3.5000 4.1000 3.5000 84 81 0.0000 
58365 2025 3 6 21 1029.7000 1030.4000 1029.7000 1029.4000 1.5000 1.9000 28 332 0.7000 28 1.7000 2.3000 1.6000 93 92 0.0000 
58365 2025 3 7 0 1030.2000 1030.9000 1030.2000 1029.8000 1.2000 1.6000 22 207 1.2000 14 4.3000 4.3000 2.8000 85 85 0.0000 
58365 2025 3 7 3 1028.5000 1029.2000 1029.4000 1028.5000 2.5000 5.1000 59 20 2.1000 69 8.6000 8.9000 7.7000 49 47 0.0000 
58365 2025 3 7 6 1025.9000 1026.6000 1026.2000 1025.8000 2.1000 3.2000 117 99 0.9000 115 9.6000 10.2000 9.5000 44 42 0.0000 
58365 2025 3 7 9 1025.0000 1025.7000 1025.6000 1025.0000 2.1000 4.0000 254 306 1.3000 258 9.7000 10.1000 9.7000 48 45 0.0000 
58365 2025 3 7 12 1025.6000 1026.3000 1025.8000 1025.5000 2.0000 4.4000 60 65 1.6000 58 7.8000 8.4000 7.8000 60 55 0.0000 
58365 2025 3 7 15 1026.0000 1026.7000 1026.1000 1025.8000 2.2000 4.5000 61 108 0.6000 63 6.3000 6.8000 6.3000 70 67 0.0000 
58365 2025 3 7 18 1025.1000 1025.8000 1025.3000 1025.1000 1.0000 1.2000 189 185 1.0000 178 3.4000 4.0000 3.4000 92 86 0.0000 
58365 2025 3 7 21 1025.1000 1025.8000 1025.2000 1024.9000 0.6000 0.7000 160 127 0.4000 158 1.9000 2.3000 1.8000 95 95 0.0000 
58365 2025 3 8 0 1026.2000 1026.9000 1026.2000 1025.9000 0.7000 1.2000 161 167 0.6000 162 5.4000 5.4000 2.3000 91 91 0.0000 
58365 2025 3 8 3 1027.2000 1027.9000 1027.4000 1027.1000 1.9000 4.1000 327 355 1.3000 346 10.8000 11.0000 9.8000 46 45 0.0000 
58365 2025 3 8 6 1025.7000 1026.4000 1026.0000 1025.6000 3.1000 5.2000 11 63 3.1000 39 13.0000 13.1000 12.5000 42 37 0.0000 
58365 2025 3 8 9 1025.5000 1026.2000 1025.5000 1025.1000 3.0000 5.6000 59 47 2.4000 35 11.7000 12.5000 11.7000 39 34 0.0000 
58365 2025 3 8 12 1027.0000 1027.7000 1027.0000 1026.4000 3.3000 6.3000 63 64 2.3000 66 8.4000 9.2000 8.4000 51 49 0.0000 
58365 2025 3 8 15 1027.9000 1028.6000 1028.0000 1027.8000 2.8000 5.6000 100 80 2.3000 91 6.4000 6.6000 6.3000 73 70 0.0000 
58365 2025 3 8 18 1028.3000 1029.0000 1028.5000 1028.3000 0.5000 0.9000 61 999017 0.1000 28 4.0000 4.9000 3.9000 90 83 0.0000 
58365 2025 3 8 21 1028.1000 1028.8000 1028.1000 1027.5000 0.8000 1.4000 33 17 0.9000 29 5.5000 5.6000 5.5000 87 84 0.0000 
58365 2025 3 9 0 1029.0000 1029.7000 1029.0000 1028.6000 2.0000 3.8000 69 70 1.5000 62 8.3000 8.3000 5.3000 78 78 0.0000 
58365 2025 3 9 3 1028.5000 1029.2000 1029.4000 1028.5000 3.4000 6.6000 63 78 3.0000 74 11.7000 11.9000 11.1000 60 57 0.0000 
58365 2025 3 9 6 1026.1000 1026.8000 1026.8000 1026.1000 4.1000 8.2000 62 91 4.2000 73 13.5000 13.8000 13.2000 55 53 0.0000 
58365 2025 3 9 9 1026.6000 1027.3000 1026.7000 1026.2000 3.9000 7.2000 82 74 2.8000 87 11.7000 12.6000 11.7000 62 56 0.0000 
58365 2025 3 9 12 1026.7000 1027.4000 1026.9000 1026.3000 3.4000 5.9000 120 107 3.3000 90 10.7000 10.8000 10.7000 74 71 0.0000 
58365 2025 3 9 15 1026.0000 1026.7000 1026.6000 1026.0000 2.3000 4.0000 84 86 2.4000 88 10.7000 10.7000 10.6000 79 77 0.0000 
58365 2025 3 9 18 1024.4000 1025.1000 1025.3000 1024.4000 2.0000 3.5000 70 76 1.8000 60 10.8000 10.8000 10.7000 81 81 0.0000 
58365 2025 3 9 21 1023.0000 1023.7000 1023.6000 1023.0000 2.5000 4.6000 95 89 2.0000 92 10.9000 10.9000 10.9000 82 82 0.0000 
58365 2025 3 10 0 1023.9000 1024.6000 1023.9000 1023.5000 2.4000 4.1000 81 76 1.7000 90 11.3000 11.3000 11.0000 83 83 0.0000 
58365 2025 3 10 3 1023.4000 1024.1000 1023.6000 1023.1000 2.1000 3.6000 75 86 1.1000 98 12.6000 12.6000 11.8000 81 80 0.0000 
58365 2025 3 10 6 1021.1000 1021.8000 1021.6000 1021.1000 2.8000 4.7000 60 78 2.1000 60 12.7000 13.5000 12.7000 82 79 0.0000 
58366 2025 3 4 9 1019.1000 1019.5000 1019.2000 1017.0000 5.7000 9.7000 335 324 5.1000 326 7.4000 7.8000 7.4000 85 83 0.0000 
58366 2025 3 4 12 1020.2000 1020.6000 1020.4000 1019.7000 4.2000 7.2000 334 341 3.7000 335 6.6000 6.7000 6.6000 88 87 0.0000 
58366 2025 3 4 15 1021.4000 1021.8000 1021.4000 1020.9000 2.7000 5.1000 350 323 3.0000 346 6.5000 6.5000 6.5000 87 86 0.0000 
58366 2025 3 4 18 1022.4000 1022.8000 1022.5000 1022.0000 4.5000 7.0000 321 315 2.9000 325 5.5000 6.1000 5.5000 88 84 0.0000 
58366 2025 3 4 21 1022.5000 1022.9000 1022.5000 1022.0000 3.5000 5.7000 335 330 2.8000 324 4.9000 5.4000 4.9000 85 83 0.0000 
58366 2025 3 5 0 1024.5000 1024.9000 1024.5000 1024.0000 3.2000 5.7000 317 323 3.2000 316 5.5000 5.5000 4.9000 86 85 0.0000 
58366 2025 3 5 3 1025.1000 1025.5000 1025.4000 1024.8000 3.3000 5.9000 11 342 2.3000 334 7.5000 7.5000 6.7000 74 73 0.0000 
58366 2025 3 5 6 1024.2000 1024.6000 1024.4000 1023.3000 4.7000 8.0000 359 359 3.6000 5 8.0000 8.3000 8.0000 60 59 0.0000 
58366 2025 3 5 9 1024.6000 1025.0000 1024.8000 1024.0000 5.1000 8.4000 2 9 4.5000 20 6.6000 7.2000 6.6000 71 68 0.0000 
58366 2025 3 5 12 1025.6000 1026.0000 1025.8000 1025.4000 3.3000 5.4000 358 11 2.6000 359 5.6000 5.8000 5.6000 75 71 0.0000 
58366 2025 3 5 15 1027.8000 1028.2000 1028.0000 1027.8000 2.9000 5.3000 348 340 2.9000 344 5.9000 5.9000 5.9000 77 77 0.0000 
58366 2025 3 5 18 1028.0000 1028.4000 1028.2000 1027.9000 3.8000 6.1000 324 329 2.5000 328 5.5000 5.6000 5.5000 78 76 0.0000 
58366 2025 3 5 21 1028.9000 1029.3000 1028.9000 1028.7000 3.4000 6.2000 324 327 2.5000 328 5.2000 5.3000 5.2000 81 80 0.0000 
58366 2025 3 6 0 1031.0000 1031.4000 1031.0000 1030.3000 3.2000 6.0000 348 343 3.2000 338 6.0000 6.0000 4.9000 79 78 0.0000 
58366 2025 3 6 3 1031.5000 1031.9000 1031.6000 1031.4000 5.4000 9.8000 359 19 3.7000 9 9.5000 9.5000 8.2000 60 55 0.0000 
58366 2025 3 6 6 1030.5000 1030.9000 1030.8000 1030.5000 4.8000 8.9000 12 1 3.3000 4 9.1000 9.4000 8.8000 60 54 0.0000 
58366 2025 3 6 9 1030.9000 1031.3000 1030.9000 1030.3000 4.8000 8.4000 12 13 3.7000 13 8.1000 9.4000 8.1000 58 45 0.0000 
58366 2025 3 6 12 1031.8000 1032.2000 1031.8000 1031.5000 1.8000 2.8000 18 355 1.7000 21 4.1000 4.7000 4.1000 82 79 0.0000 
58366 2025 3 6 15 1031.5000 1031.9000 1032.0000 1031.4000 1.6000 2.2000 348 356 1.2000 353 1.3000 2.4000 1.3000 94 92 0.0000 
